SN,Books,Remarks
1,Best Django Books (2019),Best ever remarks
2,Django Favicon Tutorial,Best ever remarks
3,Django Hosting Options,Best ever remarks
4,Django Search Tutorial,Best ever remarks
5,Best Python Books (2019),Best ever remarks
6,Best Python Podcasts,Best ever remarks
7,The Four by Scott Galloway - Book Review,Best ever remarks
8,DjangoChat Podcast,Best ever remarks
9,Django File (and Image) Uploads Tutorial,Best ever remarks
10,Django Tips #8: Projects vs Apps,Best ever remarks
11,"Podcast How-To Guide: Microphones, Headphones, Hosting, and More",Best ever remarks
12,Site Design,Best ever remarks
13,Django Tips #7: Function-Based Views vs Class-Based Views,Best ever remarks
14,Best Online React Video Tutorials (2019),Best ever remarks
15,Best Online Django Video Tutorials (2019),Best ever remarks
16,Best Online Python Video Tutorials (2019),Best ever remarks
17,Best JavaScript Books (2019),Best ever remarks
18,Best Flask Books (2019),Best ever remarks
19,Best React Books (2019),Best ever remarks
20,Year in Review (2018),Best ever remarks
21,Talk Python Podcast Interview - Teaching Django,Best ever remarks
22,Is Django a Full Stack Framework?,Best ever remarks
23,"Django 'Hello, World' with Docker",Best ever remarks
24,A Beginner's Guide to Docker,Best ever remarks
25,Django Local 404 Page,Best ever remarks
26,Official Django REST Framework Tutorial - A Beginners Guide,Best ever remarks
27,Django Testing Tutorial,Best ever remarks
28,Django Tips #6: Custom User Model,Best ever remarks
29,Django Log In with Email not Username,Best ever remarks
30,Django: How to Extend The User Model (aka Custom User Model),Best ever remarks
31,"Hello, World with Express and JavaScript",Best ever remarks
32,Django Tips #5: Docker,Best ever remarks
33,Django Password Reset Tutorial (Part 3),Best ever remarks
34,Django Sign Up Tutorial (Part 2),Best ever remarks
35,Django Login/Logout Tutorial (Part 1),Best ever remarks
36,Django Tips #4: User permissions,Best ever remarks
37,Learning Django: What Makes it Hard?,Best ever remarks
38,TCP vs UDP,Best ever remarks
39,JavaScript: Pure Functions,Best ever remarks
40,JavaScript: Prototypal Inheritance,Best ever remarks
41,JavaScript: Function Expressions vs Declarations,Best ever remarks
42,JavaScript Data Structures: Array,Best ever remarks
43,JavaScript Algorithms: Quicksort,Best ever remarks
44,JavaScript Algorithms: Mergesort,Best ever remarks
45,JavaScript: Reverse a Linked List,Best ever remarks
46,JavaScript: Find a Number in an Ordered Array,Best ever remarks
47,Python Web Frameworks,Best ever remarks
48,Static vs Dynamic Websites: Pros and Cons,Best ever remarks
49,JavaScript Guide,Best ever remarks
50,Django Contact Form Tutorial,Best ever remarks
51,Install Python 3 on Windows,Best ever remarks
52,Django Tips #3: Template Structure,Best ever remarks
53,Python *args and **kwargs,Best ever remarks
54,Podcast.__init__ Interview - The Business of Technical Authoring,Best ever remarks
55,Django Tips #2: Imports,Best ever remarks
56,Django Tips #1: makemigrations command,Best ever remarks
57,Thoughts on Publishing a Technical Book (Part 2),Best ever remarks
58,Static Website Services,Best ever remarks
59,Meteor Hosting Options,Best ever remarks
60,Install Python 3 on Chromebook,Best ever remarks
61,Install Python 3 on Mac,Best ever remarks
62,"How to use Django, PostgreSQL, and Docker",Best ever remarks
63,Django Models Best Practices,Best ever remarks
64,Django - Referencing the User Model,Best ever remarks
65,React Counter Button,Best ever remarks
66,React Stopwatch,Best ever remarks
67,React Clock,Best ever remarks
68,A Complete Introduction to React: Build a Beatles Voting App,Best ever remarks
69,React Real-time Inputs,Best ever remarks
70,JavaScript Closures Explained,Best ever remarks
71,JavaScript Callback Functions Explained,Best ever remarks
